X,CH1,Start,Increment
Sequence,Volt,-1.40E-05,2.00E-08
0,,0,1.12E-01
1,,0.00000002,7.20E-02
2,,0.00000004,1.19E-01
3,,0.00000006,7.96E-02
4,,0.00000008,1.09E-01
5,,0.0000001,9.03E-02
6,,0.00000012,1.12E-01
7,,0.00000014,7.81E-02
8,,0.00000016,1.15E-01
9,,0.00000018,7.35E-02
10,,0.0000002,1.16E-01
11,,0.00000022,7.50E-02
12,,0.00000024,1.18E-01
13,,0.00000026,8.42E-02
14,,0.00000028,1.03E-01
15,,0.0000003,8.58E-02
16,,0.00000032,1.24E-01
17,,0.00000034,8.42E-02
18,,0.00000036,1.09E-01
19,,0.00000038,8.12E-02
20,,0.0000004,1.09E-01
21,,0.00000042,8.88E-02
22,,0.00000044,1.13E-01
23,,0.00000046,7.50E-02
24,,0.00000048,1.07E-01
25,,0.0000005,7.35E-02
26,,0.00000052,1.06E-01
27,,0.00000054,8.42E-02
28,,0.00000056,1.07E-01
29,,0.00000058,7.66E-02
30,,0.0000006,1.07E-01
31,,0.00000062,7.96E-02
32,,0.00000064,1.10E-01
33,,0.00000066,8.12E-02
34,,0.00000068,1.16E-01
35,,0.0000007,6.43E-02
36,,0.00000072,1.10E-01
37,,0.00000074,7.20E-02
38,,0.00000076,1.10E-01
39,,0.00000078,7.35E-02
40,,0.0000008,1.09E-01
41,,0.00000082,8.73E-02
42,,0.00000084,1.06E-01
43,,0.00000086,8.73E-02
44,,0.00000088,1.03E-01
45,,0.0000009,7.66E-02
46,,0.00000092,1.04E-01
47,,0.00000094,8.58E-02
48,,0.00000096,1.18E-01
49,,0.00000098,7.66E-02
50,,0.000001,1.24E-01
51,,0.00000102,7.35E-02
52,,0.00000104,1.13E-01
53,,0.00000106,8.27E-02
54,,0.00000108,1.07E-01
55,,0.0000011,8.27E-02
56,,0.00000112,1.10E-01
57,,0.00000114,8.58E-02
58,,0.00000116,1.13E-01
59,,0.00000118,8.58E-02
60,,0.0000012,1.03E-01
61,,0.00000122,7.66E-02
62,,0.00000124,1.12E-01
63,,0.00000126,8.42E-02
64,,0.00000128,1.15E-01
65,,0.0000013,8.42E-02
66,,0.00000132,1.09E-01
67,,0.00000134,8.42E-02
68,,0.00000136,1.09E-01
69,,0.00000138,8.42E-02
70,,0.0000014,1.07E-01
71,,0.00000142,6.89E-02
72,,0.00000144,1.16E-01
73,,0.00000146,8.12E-02
74,,0.00000148,1.07E-01
