X,CH1,Start,Increment,
Sequence,Volt,-1.38E-05,2.00E-08,
0,2.76E-02,,0,2.76E-02
1,7.66E-03,,0.00000002,7.66E-03
2,2.30E-02,,0.00000004,2.30E-02
3,4.59E-03,,0.00000006,4.59E-03
4,1.53E-02,,0.00000008,1.53E-02
5,1.53E-03,,0.0000001,1.53E-03
6,2.30E-02,,0.00000012,2.30E-02
7,6.13E-03,,0.00000014,6.13E-03
8,2.14E-02,,0.00000016,2.14E-02
9,1.53E-03,,0.00000018,1.53E-03
10,1.99E-02,,0.0000002,1.99E-02
11,4.59E-03,,0.00000022,4.59E-03
12,1.99E-02,,0.00000024,1.99E-02
13,1.53E-03,,0.00000026,1.53E-03
14,2.30E-02,,0.00000028,2.30E-02
15,4.59E-03,,0.0000003,4.59E-03
16,2.30E-02,,0.00000032,2.30E-02
17,6.13E-03,,0.00000034,6.13E-03
18,2.14E-02,,0.00000036,2.14E-02
19,6.13E-03,,0.00000038,6.13E-03
20,2.60E-02,,0.0000004,2.60E-02
21,4.59E-03,,0.00000042,4.59E-03
22,2.76E-02,,0.00000044,2.76E-02
23,3.06E-03,,0.00000046,3.06E-03
24,2.45E-02,,0.00000048,2.45E-02
25,4.59E-03,,0.0000005,4.59E-03
26,2.45E-02,,0.00000052,2.45E-02
27,1.53E-03,,0.00000054,1.53E-03
28,1.99E-02,,0.00000056,1.99E-02
29,4.59E-03,,0.00000058,4.59E-03
30,1.84E-02,,0.0000006,1.84E-02
31,0.00E+00,,0.00000062,0.00E+00
32,2.45E-02,,0.00000064,2.45E-02
33,0.00E+00,,0.00000066,0.00E+00
34,2.45E-02,,0.00000068,2.45E-02
35,1.53E-03,,0.0000007,1.53E-03
36,1.99E-02,,0.00000072,1.99E-02
37,6.13E-03,,0.00000074,6.13E-03
38,1.99E-02,,0.00000076,1.99E-02
39,6.13E-03,,0.00000078,6.13E-03
40,2.30E-02,,0.0000008,2.30E-02
41,9.19E-03,,0.00000082,9.19E-03
42,2.30E-02,,0.00000084,2.30E-02
43,3.06E-03,,0.00000086,3.06E-03
44,1.84E-02,,0.00000088,1.84E-02
45,4.59E-03,,0.0000009,4.59E-03
46,2.14E-02,,0.00000092,2.14E-02
47,6.13E-03,,0.00000094,6.13E-03
48,2.14E-02,,0.00000096,2.14E-02
49,7.66E-03,,0.00000098,7.66E-03
50,2.60E-02,,0.000001,2.60E-02
51,4.59E-03,,0.00000102,4.59E-03
52,2.30E-02,,0.00000104,2.30E-02
53,9.19E-03,,0.00000106,9.19E-03
54,2.91E-02,,0.00000108,2.91E-02
55,6.13E-03,,0.0000011,6.13E-03
56,1.99E-02,,0.00000112,1.99E-02
57,0.00E+00,,0.00000114,0.00E+00
58,1.84E-02,,0.00000116,1.84E-02
59,3.06E-03,,0.00000118,3.06E-03
60,2.30E-02,,0.0000012,2.30E-02
61,6.13E-03,,0.00000122,6.13E-03
62,1.84E-02,,0.00000124,1.84E-02
63,9.19E-03,,0.00000126,9.19E-03
64,1.99E-02,,0.00000128,1.99E-02
65,-1.53E-03,,0.0000013,-1.53E-03
66,1.84E-02,,0.00000132,1.84E-02
67,0.00E+00,,0.00000134,0.00E+00
68,2.45E-02,,0.00000136,2.45E-02
69,4.59E-03,,0.00000138,4.59E-03
70,2.45E-02,,0.0000014,2.45E-02
71,7.66E-03,,0.00000142,7.66E-03
72,2.45E-02,,0.00000144,2.45E-02
73,4.59E-03,,0.00000146,4.59E-03
74,2.14E-02,,0.00000148,2.14E-02
75,9.19E-03,,0.0000015,9.19E-03
76,2.14E-02,,0.00000152,2.14E-02
77,1.53E-03,,0.00000154,1.53E-03
78,2.14E-02,,0.00000156,2.14E-02
79,6.13E-03,,0.00000158,6.13E-03
80,2.60E-02,,0.0000016,2.60E-02
81,6.13E-03,,0.00000162,6.13E-03
82,2.91E-02,,0.00000164,2.91E-02
83,0.00E+00,,0.00000166,0.00E+00
84,1.84E-02,,0.00000168,1.84E-02
85,9.19E-03,,0.0000017,9.19E-03
86,2.45E-02,,0.00000172,2.45E-02
87,6.13E-03,,0.00000174,6.13E-03
88,2.30E-02,,0.00000176,2.30E-02
89,7.66E-03,,0.00000178,7.66E-03
90,3.06E-02,,0.0000018,3.06E-02
91,-1.53E-03,,0.00000182,-1.53E-03
92,2.45E-02,,0.00000184,2.45E-02
93,0.00E+00,,0.00000186,0.00E+00
94,1.99E-02,,0.00000188,1.99E-02
95,1.53E-03,,0.0000019,1.53E-03
96,2.14E-02,,0.00000192,2.14E-02
97,1.53E-03,,0.00000194,1.53E-03
98,2.14E-02,,0.00000196,2.14E-02
99,-9.19E-03,,0.00000198,-9.19E-03
100,2.30E-02,,0.000002,2.30E-02
101,4.59E-03,,0.00000202,4.59E-03
102,2.45E-02,,0.00000204,2.45E-02
103,4.59E-03,,0.00000206,4.59E-03
104,2.30E-02,,0.00000208,2.30E-02
105,7.66E-03,,0.0000021,7.66E-03
106,1.53E-02,,0.00000212,1.53E-02
107,3.06E-03,,0.00000214,3.06E-03
108,2.60E-02,,0.00000216,2.60E-02
109,1.53E-03,,0.00000218,1.53E-03
110,2.14E-02,,0.0000022,2.14E-02
111,1.53E-03,,0.00000222,1.53E-03
112,2.45E-02,,0.00000224,2.45E-02
113,0.00E+00,,0.00000226,0.00E+00
114,2.60E-02,,0.00000228,2.60E-02
115,3.06E-03,,0.0000023,3.06E-03
