beam,freq,sep_1,sep_2,rad_1,rad_2,sin_1,sin_2
1.82,25000000,0.08,0.16,0.04392776708,0.08768665513,0.04391364091,0.08757432861
1.82,26590000,0.09,0.18,0.04941030041,0.09858051364,0.04939019799,0.0984209217
1.82,28400000,0.09,0.19,0.04941030041,0.1040188154,0.04939019799,0.1038313377
1.82,30000000,0.1,0.2,0.05488986259,0.1094509491,0.05486230383,0.1092325519
1.82,31600000,0.1,0.21,0.05488986259,0.1148766054,0.05486230383,0.114624108
1.82,33200000,0.11,0.22,0.06036612728,0.1202954769,0.0603294709,0.1200055541
1.82,35000000,0.12,0.22,0.0658387693,0.1202954769,0.06579121391,0.1200055541
1.82,36500000,0.12,0.235,0.0658387693,0.1284103964,0.06579121391,0.1280577892
1.82,38300000,0.13,0.245,0.07130746479,0.1338109775,0.07124704999,0.1334120121
1.82,40000000,0.135,0.255,0.07404023175,0.1392037175,0.07397260274,0.1387545788
1.82,41600000,0.14,0.26,0.07677189127,0.1418970546,0.07669649888,0.1414213562
1.82,43300000,0.145,0.265,0.07950240328,0.1445883207,0.07941867884,0.1440850584
1.82,45000000,0.14,0.27,0.07677189127,0.1472774792,0.07669649888,0.1467456322
1.82,46700000,0.15,0.3,0.08223172782,0.1633661481,0.08213908321,0.162640451
1.82,48300000,0.16,0.305,0.08768665513,0.1660395458,0.08757432861,0.1652776691
1.82,50000000,0.16,0.31,0.08768665513,0.1687105502,0.08757432861,0.1679113466
